state,idProduct,combinacion_id,referencia,referencia_combinacion,cantidad,cantidad_referencia,ean13_producto,ean13_combinacion,precio_producto,precio_combinacion,precio_mayor,precio_m_combinacion
1.0,640.0,,,,500.0,,,,9.362683,,0.0,
1.0,642.0,,3011,,17.0,,8400000006422,,1.033058,,0.57,
1.0,643.0,,,,2.0,,8400000009249,,37.190083,,0.0,
1.0,644.0,,,,60.0,,8400000006446,,2.438017,,1.64,
1.0,645.0,,,,40.0,,8400000006453,,6.330579,,3.03,
1.0,646.0,,,,40.0,,8400000006460,,12.0,,4.8,
1.0,647.0,,,,100.0,,8400000006477,,2.78,,1.08,
1.0,648.0,,,,20.0,,8400000006484,,9.396887,,4.51,
1.0,649.0,,,,40.0,,8400000006491,,13.38843,,6.44,
1.0,650.0,,PERF013,,0.0,,8400000009225,,1.95,,0.98,
1.0,651.0,,,,0.0,,8400000006514,,202.892562,,160.5,
1.0,652.0,,,,0.0,,8400000006521,,397.933884,,321.0,
1.0,653.0,,,,0.0,,8400000006538,,583.884298,,481.5,
1.0,654.0,,,,200.0,,8400000000834,,761.983471,,642.0,
1.0,655.0,,,,63.0,,8400000006552,,1.239669,,0.47,
1.0,656.0,,PINK120CM,,0.0,,8400000010276,,12.38843,,4.0,
1.0,657.0,,6853.1,,6.0,,8400000010283,,13.181818,,10.5,
1.0,658.0,,,,0.0,,8400000000834,,218.801653,,182.5,
1.0,660.0,,,,0.0,,8400000000399,,0.8,,0.45,
1.0,661.0,,,,1047.0,,8400000000399,,0.743802,,0.25,
1.0,662.0,,,,0.0,,8400000001731,,57.809917,,22.98,
1.0,663.0,,,,0.0,,8400000001731,,70.206612,,34.46,
1.0,664.0,,,,8.0,,8400000010351,,14.876033,,0.0,
1.0,665.0,665.0,,4134,0.0,781.0,8400000000000,8400000004374,24.793388,0.0,0.0,0.0
1.0,666.0,,BOBI100MBL8M,,0.0,,8400000000492,,152.361656,,0.0,
1.0,667.0,,,,4.0,,8400000006675,,11.983471,,3.42,
1.0,668.0,,,,158.0,,8400000006682,,8.090909,,9.98,
1.0,669.0,,,,287.0,,8400000006699,,35.528926,,12.53,
1.0,670.0,,90CM6000K,,9.0,,8400000000147,,2.644628,,2.0,
1.0,671.0,,,,0.0,,8400000198099,,1.528926,,0.6,
1.0,672.0,,1073,,0.0,,8400000000154,,1.96,,0.9,
1.0,673.0,,G45MADRID6W,,1435.0,,8400000000977,,4.016529,,2.9,
1.0,674.0,674.0,,139,20.0,609.0,8400000006743,8400000006743,3.53719,0.0,2.25,0.0
1.0,675.0,675.0,,153,0.0,2691.0,8400000000399,8400000004411,3.801653,0.0,2.25,0.0
1.0,676.0,,,,60.0,,8400000006767,,16.14876,,9.0,
1.0,677.0,,G95/caramelo,,0.0,,8400000008693,,7.447396,,3.55,
1.0,678.0,,,,60.0,,8400000006781,,5.768595,,3.2,
1.0,679.0,,,,60.0,,8400000006798,,7.355372,,3.65,
1.0,680.0,,,,60.0,,8400000006804,,13.818182,,6.55,
1.0,681.0,,,,60.0,,8400000006811,,4.020819,,2.9,
1.0,682.0,,,,36.0,,8400000006828,,27.911157,,16.88,
1.0,683.0,,,,60.0,,8400000006835,,43.246198,,27.0,
1.0,684.0,,,,60.0,,8400000006842,,52.603306,,32.78,
1.0,685.0,,,,60.0,,8400000006859,,5.7,,3.1,
1.0,686.0,,,,60.0,,8400000006866,,7.85124,,3.25,
1.0,687.0,,,,60.0,,8400000006873,,12.143701,,8.199999,
1.0,688.0,,,,60.0,,8400000006880,,20.10412,,9.0,
1.0,689.0,,,,60.0,,8400000006897,,24.734161,,12.4,
1.0,690.0,,,,60.0,,8400000006903,,11.374438,,5.5,
1.0,691.0,691.0,,PAN3WC,60.0,50.0,8400000006910,8400000004435,14.414959,0.0,6.4,0.0
1.0,692.0,692.0,,PAN3WN,60.0,0.0,8400000006927,8400000004442,27.062975,479339.0,13.1,0.0
1.0,693.0,693.0,,PAN3XF,60.0,50.0,8400000006934,8400000004459,31.62,0.0,16.399999,0.0
1.0,694.0,,,,60.0,,8400000006941,,7.872314,,5.8,
1.0,695.0,695.0,,PAN3WN,28.0,7.0,8400000006958,8400000004466,54.647107,0.0,33.9,0.0
1.0,696.0,696.0,,0018NR,58.0,185.0,8400000006965,8400000004473,84.671488,0.0,48.0,0.0
1.0,697.0,697.0,,0017NR,60.0,178.0,8400000006972,8400000004480,102.991736,3.0,65.56,0.0
1.0,698.0,,,,60.0,,8400000006989,,11.4,,5.8,
1.0,699.0,,,,5306.0,,8400000006996,,17.831405,,6.5,
